run_id,source_center,model,method,seed,case_id,video_id,lesion_id,shape,hard_flat,morphology_group,cluster_id,n_frames,dice_mean
srcC1_polyp_pvt_warp_alpha100_seed0_L1isolation,C1,polyp_pvt,warp_alpha100,0,case2_2,case2,case2_2,Is,False,non_flat,case2_2:case2,150,0.95964
srcC1_polyp_pvt_warp_alpha100_seed0_L1isolation,C1,polyp_pvt,warp_alpha100,0,case2_3,case2,case2_3,Is,False,non_flat,case2_3:case2,150,0.95149
srcC1_polyp_pvt_warp_alpha100_seed0_L1isolation,C1,polyp_pvt,warp_alpha100,0,case2_4,case2,case2_4,Is,False,non_flat,case2_4:case2,150,0.946397
srcC1_polyp_pvt_warp_alpha100_seed0_L1isolation,C1,polyp_pvt,warp_alpha100,0,case2_5,case2,case2_5,Is,False,non_flat,case2_5:case2,171,0.928436
srcC1_polyp_pvt_warp_alpha100_seed0_L1isolation,C1,polyp_pvt,warp_alpha100,0,case2_6,case2,case2_6,Is,False,non_flat,case2_6:case2,99,0.96017
srcC1_polyp_pvt_warp_alpha100_seed0_L1isolation,C1,polyp_pvt,warp_alpha100,0,case2_7,case2,case2_7,Is,False,non_flat,case2_7:case2,150,0.958814
srcC1_polyp_pvt_warp_alpha100_seed0_L1isolation,C1,polyp_pvt,warp_alpha100,0,case2_8,case2,case2_8,Is,False,non_flat,case2_8:case2,181,0.859947
srcC1_polyp_pvt_warp_alpha100_seed0_L1isolation,C1,polyp_pvt,warp_alpha100,0,case2_9,case2,case2_9,Is,False,non_flat,case2_9:case2,112,0.957667
srcC1_polyp_pvt_warp_alpha100_seed0_L1isolation,C1,polyp_pvt,warp_alpha100,0,case30,case30,case30,IIa,True,hard_flat_IIa,case30:case30,224,0.762043
srcC1_polyp_pvt_warp_alpha100_seed0_L1isolation,C1,polyp_pvt,warp_alpha100,0,case31,case31,case31,Ip,False,non_flat,case31:case31,183,0.830095
srcC1_polyp_pvt_warp_alpha100_seed0_L1isolation,C1,polyp_pvt,warp_alpha100,0,case32_1,case32,case32_1,Ip,False,non_flat,case32_1:case32,210,0.885803
srcC1_polyp_pvt_warp_alpha100_seed0_L1isolation,C1,polyp_pvt,warp_alpha100,0,case32_2,case32,case32_2,Ip,False,non_flat,case32_2:case32,100,0.907064
