run_id,source_center,model,method,seed,case_id,cluster_id,morphology_group,dice_mean,hd95_px_mean,weighted_fbeta_mean,boundary_iou_mean
srcC3_polyp_pvt_paired_affine_softmix_seed0_fm20260714,C3,polyp_pvt,paired_affine_softmix,0,case51_10,case51_10:case51,hard_flat_IIa,0.8719966365329995,58.54452750587423,0.8094937913979177,0.5016134147029145
srcC3_polyp_pvt_paired_affine_softmix_seed0_fm20260714,C3,polyp_pvt,paired_affine_softmix,0,case51_2,case51_2:case51,hard_flat_IIa,0.7614626123115936,36.27735045222504,0.7347770044557164,0.4717578175870326
srcC3_polyp_pvt_paired_affine_softmix_seed0_fm20260714,C3,polyp_pvt,paired_affine_softmix,0,case51_3,case51_3:case51,hard_flat_IIa,0.7657739708518618,30.403886608668568,0.7054337826842746,0.5355775646765482
srcC3_polyp_pvt_paired_affine_softmix_seed0_fm20260714,C3,polyp_pvt,paired_affine_softmix,0,case51_4,case51_4:case51,hard_flat_IIa,0.935464141940776,9.56520875013642,0.9162188890659448,0.6783347670942135
srcC3_polyp_pvt_paired_affine_softmix_seed0_fm20260714,C3,polyp_pvt,paired_affine_softmix,0,case51_5,case51_5:case51,hard_flat_IIa,0.8954430322899537,15.932403375371075,0.8723166074167303,0.6434446256179344
srcC3_polyp_pvt_paired_affine_softmix_seed0_fm20260714,C3,polyp_pvt,paired_affine_softmix,0,case51_6,case51_6:case51,hard_flat_IIa,0.9295166633569528,24.06119067776196,0.8853678990285326,0.5946492857982167
srcC3_polyp_pvt_paired_affine_softmix_seed0_fm20260714,C3,polyp_pvt,paired_affine_softmix,0,case51_7,case51_7:case51,hard_flat_IIa,0.7177961551976549,94.82907957571302,0.6729572089491485,0.4064421624250237
srcC3_polyp_pvt_paired_affine_softmix_seed0_fm20260714,C3,polyp_pvt,paired_affine_softmix,0,case51_8,case51_8:case51,hard_flat_IIa,0.7771865885288743,74.24731568993896,0.7208840745625161,0.4529659596998865
srcC3_polyp_pvt_paired_affine_softmix_seed0_fm20260714,C3,polyp_pvt,paired_affine_softmix,0,case51_9,case51_9:case51,hard_flat_IIa,0.7144199446538662,59.18448787538448,0.6797458805676316,0.4448737929593149
srcC3_polyp_pvt_paired_affine_softmix_seed0_fm20260714,C3,polyp_pvt,paired_affine_softmix,0,case52,case52:case52,hard_flat_IIa,0.8916777275298425,11.768745438319051,0.8795825684175009,0.6473786152757675
srcC3_polyp_pvt_paired_affine_softmix_seed0_fm20260714,C3,polyp_pvt,paired_affine_softmix,0,case53,case53:case53,non_flat,0.9104346834887715,10.98098606910233,0.8874626431015488,0.6517659415454815
srcC3_polyp_pvt_paired_affine_softmix_seed0_fm20260714,C3,polyp_pvt,paired_affine_softmix,0,case54_1,case54_1:case54,non_flat,0.4485328848631449,188.47965219933263,0.4416878205100302,0.2704337648667602
srcC3_polyp_pvt_paired_affine_softmix_seed0_fm20260714,C3,polyp_pvt,paired_affine_softmix,0,case54_2,case54_2:case54,non_flat,0.9069992608605844,14.727280141922526,0.8780016966949806,0.6451427493862005
srcC3_polyp_pvt_paired_affine_softmix_seed0_fm20260714,C3,polyp_pvt,paired_affine_softmix,0,case55_1,case55_1:case55,non_flat,0.866766037410552,24.42143995097216,0.8353904702547148,0.6326252634630883
srcC3_polyp_pvt_paired_affine_softmix_seed0_fm20260714,C3,polyp_pvt,paired_affine_softmix,0,case55_2,case55_2:case55,non_flat,0.8954260051274429,10.398946508716806,0.874917881814187,0.72006257018742
srcC3_polyp_pvt_paired_affine_softmix_seed0_fm20260714,C3,polyp_pvt,paired_affine_softmix,0,case55_3,case55_3:case55,non_flat,0.9147841128556968,5.393727755022341,0.8836712522998953,0.720981062733515
srcC3_polyp_pvt_paired_affine_softmix_seed0_fm20260714,C3,polyp_pvt,paired_affine_softmix,0,case56_1,case56_1:case56,non_flat,0.8667389613122456,20.72360556510451,0.8509472750920793,0.5755658064486587
srcC3_polyp_pvt_paired_affine_softmix_seed0_fm20260714,C3,polyp_pvt,paired_affine_softmix,0,case56_2,case56_2:case56,non_flat,0.9504109271343684,6.2383088298846765,0.941511453980758,0.6891664100931896
srcC3_polyp_pvt_paired_affine_softmix_seed0_fm20260714,C3,polyp_pvt,paired_affine_softmix,0,case57,case57:case57,non_flat,0.7853748041792404,28.24752949950672,0.7533090665351865,0.5897349727167372
srcC3_polyp_pvt_paired_affine_softmix_seed0_fm20260714,C3,polyp_pvt,paired_affine_softmix,0,case58,case58:case58,hard_flat_IIa,0.5086866882905093,87.15147884304014,0.4692927547905804,0.3611254714539832
srcC3_polyp_pvt_paired_affine_softmix_seed0_fm20260714,C3,polyp_pvt,paired_affine_softmix,0,case59_1,case59_1:case59,non_flat,0.9155888121051812,12.626423806467985,0.9021705077337624,0.6968407108450054
srcC3_polyp_pvt_paired_affine_softmix_seed0_fm20260714,C3,polyp_pvt,paired_affine_softmix,0,case59_2,case59_2:case59,non_flat,0.9720325021109234,3.057019202332338,0.962829323809812,0.8181582539030202
srcC3_polyp_pvt_paired_affine_softmix_seed0_fm20260714,C3,polyp_pvt,paired_affine_softmix,0,case59_3,case59_3:case59,non_flat,0.947370149655706,5.565232845336468,0.9347539044381477,0.726799790684491
srcC3_polyp_pvt_paired_affine_softmix_seed0_fm20260714,C3,polyp_pvt,paired_affine_softmix,0,case5_1,case5_1:case5,hard_flat_IIa,0.3673815155179487,182.384192642305,0.3672483562352412,0.218628400768893
srcC3_polyp_pvt_paired_affine_softmix_seed0_fm20260714,C3,polyp_pvt,paired_affine_softmix,0,case5_2,case5_2:case5,hard_flat_IIa,0.2152172709220146,178.72295501649046,0.1957576915815129,0.1643264911477963
srcC3_polyp_pvt_paired_affine_softmix_seed0_fm20260714,C3,polyp_pvt,paired_affine_softmix,0,case5_3,case5_3:case5,hard_flat_IIa,0.6035374815809817,59.92283946834239,0.5406562440568986,0.4079191084385563
srcC3_polyp_pvt_paired_affine_softmix_seed0_fm20260714,C3,polyp_pvt,paired_affine_softmix,0,case5_4,case5_4:case5,hard_flat_IIa,0.8419590937761563,17.28841069183937,0.7684918249947499,0.5130271848251724
srcC3_polyp_pvt_paired_affine_softmix_seed0_fm20260714,C3,polyp_pvt,paired_affine_softmix,0,case5_5,case5_5:case5,hard_flat_IIa,0.8683929368197998,43.168792753012085,0.7997351886409825,0.634980661516959
srcC3_polyp_pvt_paired_affine_softmix_seed0_fm20260714,C3,polyp_pvt,paired_affine_softmix,0,case5_6,case5_6:case5,hard_flat_IIa,0.6058590589584479,89.93278857454048,0.5149739959880649,0.2662684237686412
srcC3_polyp_pvt_paired_affine_softmix_seed0_fm20260714,C3,polyp_pvt,paired_affine_softmix,0,case60,case60:case60,hard_flat_IIa,0.1663277984310855,207.7810106345732,0.1724127748251807,0.0767282994560978
srcC3_polyp_pvt_paired_affine_softmix_seed0_fm20260714,C3,polyp_pvt,paired_affine_softmix,0,case61_1,case61_1:case61,non_flat,0.6006265138700908,51.74405771412914,0.5350788533192148,0.3764681236189421
srcC3_polyp_pvt_paired_affine_softmix_seed0_fm20260714,C3,polyp_pvt,paired_affine_softmix,0,case61_2,case61_2:case61,non_flat,0.7705536943104729,29.783571974118423,0.7377537478995956,0.4855266485373102
srcC3_polyp_pvt_paired_affine_softmix_seed0_fm20260714,C3,polyp_pvt,paired_affine_softmix,0,case61_3,case61_3:case61,non_flat,0.7655372937460536,48.65816834067341,0.7392686345454562,0.5265916427673303
srcC3_polyp_pvt_paired_affine_softmix_seed0_fm20260714,C3,polyp_pvt,paired_affine_softmix,0,case62_1,case62_1:case62,non_flat,0.9068634211800284,9.717556809169322,0.8799002175310492,0.7468698159937849
srcC3_polyp_pvt_paired_affine_softmix_seed0_fm20260714,C3,polyp_pvt,paired_affine_softmix,0,case62_2,case62_2:case62,non_flat,0.9326816152671652,5.210125474933147,0.9105869774164194,0.7302751640256467
srcC3_polyp_pvt_paired_affine_softmix_seed0_fm20260714,C3,polyp_pvt,paired_affine_softmix,0,case63_1,case63_1:case63,non_flat,0.914327229573413,14.993609993038332,0.8977398437033057,0.6870537906808699
srcC3_polyp_pvt_paired_affine_softmix_seed0_fm20260714,C3,polyp_pvt,paired_affine_softmix,0,case63_2,case63_2:case63,non_flat,0.9246062362712516,12.4557230534114,0.9096620480443144,0.642095201620817
srcC3_polyp_pvt_paired_affine_softmix_seed0_fm20260714,C3,polyp_pvt,paired_affine_softmix,0,case63_3,case63_3:case63,non_flat,0.9346620710836728,10.513827310947574,0.9054604135651154,0.6446854687264534
srcC3_polyp_pvt_paired_affine_softmix_seed0_fm20260714,C3,polyp_pvt,paired_affine_softmix,0,case64,case64:case64,hard_flat_IIa,0.6188529560377227,149.50429155113486,0.5163028593583234,0.2884579757393589
srcC3_polyp_pvt_paired_affine_softmix_seed0_fm20260714,C3,polyp_pvt,paired_affine_softmix,0,case65,case65:case65,hard_flat_IIa,0.6011348174264879,66.23558113655106,0.5707232988043083,0.4375636835497284
srcC3_polyp_pvt_paired_affine_softmix_seed0_fm20260714,C3,polyp_pvt,paired_affine_softmix,0,case66_1,case66_1:case66,non_flat,0.8554444993087944,14.494470771875058,0.7963815429289067,0.607836721366829
srcC3_polyp_pvt_paired_affine_softmix_seed0_fm20260714,C3,polyp_pvt,paired_affine_softmix,0,case66_2,case66_2:case66,non_flat,0.8644094837384417,19.533169536623163,0.8026087501143726,0.5654812172227905
srcC3_polyp_pvt_paired_affine_softmix_seed0_fm20260714,C3,polyp_pvt,paired_affine_softmix,0,case66_3,case66_3:case66,non_flat,0.8172596617728997,25.78376645335445,0.7285105478103492,0.5103836960979118
srcC3_polyp_pvt_paired_affine_softmix_seed0_fm20260714,C3,polyp_pvt,paired_affine_softmix,0,case66_4,case66_4:case66,non_flat,0.8174893117400853,30.428792347716044,0.7228506010446669,0.4795016041497368
srcC3_polyp_pvt_paired_affine_softmix_seed0_fm20260714,C3,polyp_pvt,paired_affine_softmix,0,case66_5,case66_5:case66,non_flat,0.801888306713934,26.05918158083714,0.7063437612326193,0.4490793149395883
srcC3_polyp_pvt_paired_affine_softmix_seed0_fm20260714,C3,polyp_pvt,paired_affine_softmix,0,case66_6,case66_6:case66,non_flat,0.8931146380702271,14.623481731749864,0.8384621604445864,0.6498838672962836
srcC3_polyp_pvt_paired_affine_softmix_seed0_fm20260714,C3,polyp_pvt,paired_affine_softmix,0,case66_7,case66_7:case66,non_flat,0.8638451878226128,13.292841246768573,0.8172439171740461,0.6221214210258061
srcC3_polyp_pvt_paired_affine_softmix_seed0_fm20260714,C3,polyp_pvt,paired_affine_softmix,0,case66_8,case66_8:case66,non_flat,0.8539189026091958,20.137570019815588,0.7793991256211436,0.5387755384211705
srcC3_polyp_pvt_paired_affine_softmix_seed0_fm20260714,C3,polyp_pvt,paired_affine_softmix,0,case66_9,case66_9:case66,non_flat,0.8763498399515133,22.0118910408308,0.8084830386736058,0.5687829132513712
srcC3_polyp_pvt_paired_affine_softmix_seed0_fm20260714,C3,polyp_pvt,paired_affine_softmix,0,case67,case67:case67,hard_flat_IIa,0.4379194641859363,119.83612517407065,0.4270331618898751,0.2181724350352473
srcC3_polyp_pvt_paired_affine_softmix_seed0_fm20260714,C3,polyp_pvt,paired_affine_softmix,0,case68_1,case68_1:case68,non_flat,0.7155259169077177,64.93782687674005,0.6967781125274554,0.3772351769707522
srcC3_polyp_pvt_paired_affine_softmix_seed0_fm20260714,C3,polyp_pvt,paired_affine_softmix,0,case68_2,case68_2:case68,non_flat,0.5207140776970662,136.24570337347689,0.5041767261976845,0.2494968024165149
srcC3_polyp_pvt_paired_affine_softmix_seed0_fm20260714,C3,polyp_pvt,paired_affine_softmix,0,case68_3,case68_3:case68,non_flat,0.4041696809331723,168.5857907380338,0.4044405630746514,0.1855707471160283
srcC3_polyp_pvt_paired_affine_softmix_seed0_fm20260714,C3,polyp_pvt,paired_affine_softmix,0,case68_4,case68_4:case68,non_flat,0.7848343368359639,48.21660456645522,0.7527846211956377,0.4056357318388308
srcC3_polyp_pvt_paired_affine_softmix_seed0_fm20260714,C3,polyp_pvt,paired_affine_softmix,0,case68_5,case68_5:case68,non_flat,0.8409538906904809,44.239451393216726,0.8251603452128622,0.5228032541486478
srcC3_polyp_pvt_paired_affine_softmix_seed0_fm20260714,C3,polyp_pvt,paired_affine_softmix,0,case68_6,case68_6:case68,non_flat,0.7161438807951205,65.50376419330023,0.708190409925634,0.4046272700273282
srcC3_polyp_pvt_paired_affine_softmix_seed0_fm20260714,C3,polyp_pvt,paired_affine_softmix,0,case68_7,case68_7:case68,non_flat,0.9134913415769436,26.44855790697988,0.8933760229197426,0.5062027071463031
srcC3_polyp_pvt_paired_affine_softmix_seed0_fm20260714,C3,polyp_pvt,paired_affine_softmix,0,case69,case69:case69,hard_flat_IIa,0.7265263338442592,20.3015318362284,0.6854579972103219,0.5459981027233741
srcC3_polyp_pvt_paired_affine_softmix_seed0_fm20260714,C3,polyp_pvt,paired_affine_softmix,0,case6_1,case6_1:case6,hard_flat_IIa,0.1563743635958249,291.58383685007215,0.166658760902296,0.0724774048673181
srcC3_polyp_pvt_paired_affine_softmix_seed0_fm20260714,C3,polyp_pvt,paired_affine_softmix,0,case6_2,case6_2:case6,hard_flat_IIa,0.1508755235345061,265.958617837481,0.1609276394192373,0.0556697189610945
srcC3_polyp_pvt_paired_affine_softmix_seed0_fm20260714,C3,polyp_pvt,paired_affine_softmix,0,case6_3,case6_3:case6,hard_flat_IIa,0.1029584968517939,327.4485487780905,0.1127969725743609,0.0471462211219937
srcC3_polyp_pvt_paired_affine_softmix_seed0_fm20260714,C3,polyp_pvt,paired_affine_softmix,0,case70,case70:case70,non_flat,0.9128171121655834,31.247346316574784,0.8920287572531955,0.5937340201193075
srcC3_polyp_pvt_paired_affine_softmix_seed0_fm20260714,C3,polyp_pvt,paired_affine_softmix,0,case71_1,case71_1:case71,non_flat,0.7197470166994562,62.063386831827145,0.6562475906728082,0.3607596334218843
srcC3_polyp_pvt_paired_affine_softmix_seed0_fm20260714,C3,polyp_pvt,paired_affine_softmix,0,case71_2,case71_2:case71,non_flat,0.7404383093059793,44.62865909048061,0.6734940290547553,0.4550053146997583
srcC3_polyp_pvt_paired_affine_softmix_seed0_fm20260714,C3,polyp_pvt,paired_affine_softmix,0,case71_3,case71_3:case71,non_flat,0.8038584678583445,15.808756611325212,0.7313843909522634,0.5945709792744325
srcC3_polyp_pvt_paired_affine_softmix_seed0_fm20260714,C3,polyp_pvt,paired_affine_softmix,0,case71_4,case71_4:case71,non_flat,0.6893846136969324,27.753443284752407,0.5892936303806621,0.4881094681641722
srcC3_polyp_pvt_paired_affine_softmix_seed0_fm20260714,C3,polyp_pvt,paired_affine_softmix,0,case71_5,case71_5:case71,non_flat,0.9363481629122942,8.31456127768173,0.9167905480789968,0.7348217280372658
srcC3_polyp_pvt_paired_affine_softmix_seed0_fm20260714,C3,polyp_pvt,paired_affine_softmix,0,case71_6,case71_6:case71,non_flat,0.9118626184094504,11.226681936036693,0.8658688003412401,0.6671054993391164
srcC3_polyp_pvt_paired_affine_softmix_seed0_fm20260714,C3,polyp_pvt,paired_affine_softmix,0,case72_1,case72_1:case72,non_flat,0.9252924715020234,9.272104942468095,0.9166177612639436,0.6710863002606042
srcC3_polyp_pvt_paired_affine_softmix_seed0_fm20260714,C3,polyp_pvt,paired_affine_softmix,0,case72_2,case72_2:case72,non_flat,0.8233313837687627,34.34625276311518,0.81238310887719,0.6328743397645157
srcC3_polyp_pvt_paired_affine_softmix_seed0_fm20260714,C3,polyp_pvt,paired_affine_softmix,0,case72_3,case72_3:case72,non_flat,0.9437909828320624,5.255119425353223,0.9430888289242062,0.7293213952006011
srcC3_polyp_pvt_paired_affine_softmix_seed0_fm20260714,C3,polyp_pvt,paired_affine_softmix,0,case72_4,case72_4:case72,non_flat,0.7180450109812635,101.38440517852032,0.7037602766712769,0.4989126116860393
srcC3_polyp_pvt_paired_affine_softmix_seed0_fm20260714,C3,polyp_pvt,paired_affine_softmix,0,case73_1,case73_1:case73,non_flat,0.2337209669127816,165.0231894012765,0.1791691849088052,0.1808200740698101
srcC3_polyp_pvt_paired_affine_softmix_seed0_fm20260714,C3,polyp_pvt,paired_affine_softmix,0,case73_2,case73_2:case73,non_flat,0.3043924516887675,133.15854386213456,0.2195152425649929,0.2346157330664535
srcC3_polyp_pvt_paired_affine_softmix_seed0_fm20260714,C3,polyp_pvt,paired_affine_softmix,0,case73_3,case73_3:case73,non_flat,0.4697952060722587,68.68828703503358,0.4232256062649125,0.3708748946199877
srcC3_polyp_pvt_paired_affine_softmix_seed0_fm20260714,C3,polyp_pvt,paired_affine_softmix,0,case73_4,case73_4:case73,non_flat,0.7944409692816402,17.065646429915763,0.7453649942641318,0.6903518789806411
srcC3_polyp_pvt_paired_affine_softmix_seed0_fm20260714,C3,polyp_pvt,paired_affine_softmix,0,case73_5,case73_5:case73,non_flat,0.6964932449348811,41.668429329891815,0.5940158851529634,0.5787587983098482
srcC3_polyp_pvt_paired_affine_softmix_seed0_fm20260714,C3,polyp_pvt,paired_affine_softmix,0,case73_6,case73_6:case73,non_flat,0.8526954918191633,10.02148916638712,0.785962813551947,0.673178655032737
srcC3_polyp_pvt_paired_affine_softmix_seed0_fm20260714,C3,polyp_pvt,paired_affine_softmix,0,case73_7,case73_7:case73,non_flat,0.6830178630906457,50.83420563219395,0.586202855903854,0.5374044971705496
srcC3_polyp_pvt_paired_affine_softmix_seed0_fm20260714,C3,polyp_pvt,paired_affine_softmix,0,case73_8,case73_8:case73,non_flat,0.8274438033639329,20.20650021779741,0.780540284796833,0.6440610262561602
srcC3_polyp_pvt_paired_affine_softmix_seed0_fm20260714,C3,polyp_pvt,paired_affine_softmix,0,case73_9,case73_9:case73,non_flat,0.8437801483194972,13.929677513734545,0.7777938336542702,0.7150503084544598
srcC3_polyp_pvt_paired_affine_softmix_seed0_fm20260714,C3,polyp_pvt,paired_affine_softmix,0,case74_1,case74_1:case74,non_flat,0.5276685114229711,99.26115904045452,0.5132004419660992,0.3325310946847464
srcC3_polyp_pvt_paired_affine_softmix_seed0_fm20260714,C3,polyp_pvt,paired_affine_softmix,0,case74_2,case74_2:case74,non_flat,0.919550971682473,23.55351248975785,0.9009823483483148,0.5548917537769892
srcC3_polyp_pvt_paired_affine_softmix_seed0_fm20260714,C3,polyp_pvt,paired_affine_softmix,0,case75_1,case75_1:case75,non_flat,0.8959196933467293,13.639414932345414,0.8738139951722955,0.667950119240033
srcC3_polyp_pvt_paired_affine_softmix_seed0_fm20260714,C3,polyp_pvt,paired_affine_softmix,0,case75_2,case75_2:case75,non_flat,0.8931336849659055,23.24517177743579,0.856617069129888,0.7401575611290498
srcC3_polyp_pvt_paired_affine_softmix_seed0_fm20260714,C3,polyp_pvt,paired_affine_softmix,0,case76_1,case76_1:case76,non_flat,0.6342840814795145,83.43823962478211,0.5728234297444004,0.525695086119535
srcC3_polyp_pvt_paired_affine_softmix_seed0_fm20260714,C3,polyp_pvt,paired_affine_softmix,0,case76_2,case76_2:case76,non_flat,0.8976369965321377,7.089374236146189,0.8638432576036216,0.7497954499504202
srcC3_polyp_pvt_paired_affine_softmix_seed0_fm20260714,C3,polyp_pvt,paired_affine_softmix,0,case77,case77:case77,non_flat,0.4479401423490697,150.60611644665047,0.4343879700629335,0.3244388433519279
srcC3_polyp_pvt_paired_affine_softmix_seed0_fm20260714,C3,polyp_pvt,paired_affine_softmix,0,case78_1,case78_1:case78,non_flat,0.8016211236758788,44.22950353997327,0.7799434560017172,0.5376851664240868
srcC3_polyp_pvt_paired_affine_softmix_seed0_fm20260714,C3,polyp_pvt,paired_affine_softmix,0,case78_2,case78_2:case78,non_flat,0.8103578374132538,34.2795480334414,0.7870219744093894,0.4504190719211396
srcC3_polyp_pvt_paired_affine_softmix_seed0_fm20260714,C3,polyp_pvt,paired_affine_softmix,0,case79,case79:case79,non_flat,0.1811120627216019,299.5541190506321,0.1675228583543439,0.0771639831389585
srcC3_polyp_pvt_paired_affine_softmix_seed0_fm20260714,C3,polyp_pvt,paired_affine_softmix,0,case7_1,case7_1:case7,hard_flat_IIa,0.8619564827871521,20.7525051605969,0.848584041033581,0.653991374527032
srcC3_polyp_pvt_paired_affine_softmix_seed0_fm20260714,C3,polyp_pvt,paired_affine_softmix,0,case7_2,case7_2:case7,hard_flat_IIa,0.9021441302029876,17.852437208701232,0.8854112302714293,0.6509908090760025
srcC3_polyp_pvt_paired_affine_softmix_seed0_fm20260714,C3,polyp_pvt,paired_affine_softmix,0,case80_1,case80_1:case80,non_flat,0.9053539385351592,12.775699022809611,0.8924614393269069,0.5835828630544816
srcC3_polyp_pvt_paired_affine_softmix_seed0_fm20260714,C3,polyp_pvt,paired_affine_softmix,0,case80_2,case80_2:case80,non_flat,0.9252301120803548,14.515475993337809,0.917897212661452,0.6007333599164575
srcC3_polyp_pvt_paired_affine_softmix_seed0_fm20260714,C3,polyp_pvt,paired_affine_softmix,0,case80_3,case80_3:case80,non_flat,0.8973211393789241,22.48757451844101,0.8896390023854087,0.5303536644877705
srcC3_polyp_pvt_paired_affine_softmix_seed0_fm20260714,C3,polyp_pvt,paired_affine_softmix,0,case80_4,case80_4:case80,non_flat,0.9361879164897052,15.492636706459963,0.9225488887219432,0.6110522099701137
srcC3_polyp_pvt_paired_affine_softmix_seed0_fm20260714,C3,polyp_pvt,paired_affine_softmix,0,case80_5,case80_5:case80,non_flat,0.9348427081491784,15.382670028566514,0.9183172233076752,0.6142341207836685
srcC3_polyp_pvt_paired_affine_softmix_seed0_fm20260714,C3,polyp_pvt,paired_affine_softmix,0,case80_6,case80_6:case80,non_flat,0.9159825225930104,21.493740821996333,0.902442782340273,0.5527986077024748
srcC3_polyp_pvt_paired_affine_softmix_seed0_fm20260714,C3,polyp_pvt,paired_affine_softmix,0,case80_7,case80_7:case80,non_flat,0.8822155699331298,24.23229833192852,0.8742079970215885,0.5278465035340613
srcC3_polyp_pvt_paired_affine_softmix_seed0_fm20260714,C3,polyp_pvt,paired_affine_softmix,0,case80_8,case80_8:case80,non_flat,0.8668971044435144,23.595192779726563,0.8616538636657124,0.5139688164931603
srcC3_polyp_pvt_paired_affine_softmix_seed0_fm20260714,C3,polyp_pvt,paired_affine_softmix,0,case81_1,case81_1:case81,non_flat,0.9360598398834264,5.23779370878561,0.9148740670800902,0.7010236552993826
srcC3_polyp_pvt_paired_affine_softmix_seed0_fm20260714,C3,polyp_pvt,paired_affine_softmix,0,case81_2,case81_2:case81,non_flat,0.9335176358118562,10.355209886455356,0.9153729463420536,0.7189290214561438
srcC3_polyp_pvt_paired_affine_softmix_seed0_fm20260714,C3,polyp_pvt,paired_affine_softmix,0,case82,case82:case82,hard_flat_IIa,0.8708446480698173,22.03425276498664,0.8285139469129995,0.6412003881604982
srcC3_polyp_pvt_paired_affine_softmix_seed0_fm20260714,C3,polyp_pvt,paired_affine_softmix,0,case83_1,case83_1:case83,non_flat,0.6570065690845358,62.40228506052775,0.6548525519632802,0.3772697481501523
srcC3_polyp_pvt_paired_affine_softmix_seed0_fm20260714,C3,polyp_pvt,paired_affine_softmix,0,case83_2,case83_2:case83,non_flat,0.9187565050783394,17.573356697635738,0.9044640416840454,0.615557248384401
srcC3_polyp_pvt_paired_affine_softmix_seed0_fm20260714,C3,polyp_pvt,paired_affine_softmix,0,case83_3,case83_3:case83,non_flat,0.9703785598887104,5.760126582068818,0.9612971674152246,0.7095911176272192
srcC3_polyp_pvt_paired_affine_softmix_seed0_fm20260714,C3,polyp_pvt,paired_affine_softmix,0,case84,case84:case84,non_flat,0.6932568149561192,52.52375110079944,0.6266280040651254,0.3533020161293239
