candidate,reference,metric,morphology_group,n_cells,mean_delta,positive_cells,ci_low,ci_high,paired_t_p,comparison_id,ci_source,cell_deltas_json,holm_family,paired_t_p_holm
SLAug,warp_alpha100,hd95_px_mean,all,6,-27.721439274094475,0,-51.947264807056285,-3.4956137411326687,0.03220071752569611,JA3,paired_t_6_source_seed_cells,"[-36.490141790258555, -13.994021519888655, -6.071343615067903, -68.84104236077089, -28.66167864365447, -12.270407714926385]",F2/F5-existing:not-recomputed,
SLAug,joint_affine_floor,hd95_px_mean,all,6,-8.51810733758566,1,-14.871667450934154,-2.1645472242371655,0.018309843803364097,JA4,paired_t_6_source_seed_cells,"[-14.160537024038774, -12.524234802752638, 1.8598074688601542, -10.525869652448264, -4.499919139326096, -11.257890875808336]","F3-new:JA1,JA2,JA4",0.05492953141009229
SLAug,strong_aug_floor,hd95_px_mean,all,6,-7.223389957261932,0,-10.884616253059285,-3.56216366146458,0.0038617865647113912,TOTAL,paired_t_6_source_seed_cells,"[-6.011276826112095, -7.624017352668304, -4.590981962817395, -6.639179966335334, -13.919521244686962, -4.555362390951501]",F1-existing:not-recomputed,
joint_affine_floor,strong_aug_floor,weighted_fbeta_mean,all,6,-0.0052310700510652675,2,-0.04680341536938224,0.036341275267251706,0.7594393379674794,JA1,paired_t_6_source_seed_cells,"[-0.048402024683207645, -0.024918244811161894, 0.029740792542965466, -0.0013708352314013572, 0.051884450431320284, -0.03832055855490646]","F3-new:JA1,JA2,JA4",1.0
warp_alpha100,joint_affine_floor,weighted_fbeta_mean,all,6,-0.16044698653207373,0,-0.21692958371969484,-0.10396438934445262,0.0007542723743064944,JA2,paired_t_6_source_seed_cells,"[-0.09425533682221432, -0.15488548953731174, -0.18960940965318696, -0.21162228191531496, -0.2134500010833485, -0.09885940018106598]","F3-new:JA1,JA2,JA4",0.002262817122919483
SLAug,warp_alpha100,weighted_fbeta_mean,all,6,0.1563761032890485,6,0.11320121327360688,0.1995509933044901,0.00024055597314434022,JA3,paired_t_6_source_seed_cells,"[0.12950598771196797, 0.17603202346674052, 0.1329291984606421, 0.1968845224479876, 0.20202615121524542, 0.10087873643170742]",F2/F5-existing:not-recomputed,
SLAug,joint_affine_floor,weighted_fbeta_mean,all,6,-0.004070883243025236,3,-0.03776669677382843,0.029624930287777955,0.7686645936485106,JA4,paired_t_6_source_seed_cells,"[0.035250650889753654, 0.02114653392942878, -0.05668021119254485, -0.01473775946732736, -0.011423849868103075, 0.0020193362506414347]","F3-new:JA1,JA2,JA4",1.0
SLAug,strong_aug_floor,weighted_fbeta_mean,all,6,-0.009301953294090504,1,-0.03749286717500497,0.01888896058682396,0.43504286381899027,TOTAL,paired_t_6_source_seed_cells,"[-0.013151373793453991, -0.0037717108817331146, -0.026939418649579383, -0.016108594698728718, 0.04046060056321721, -0.036301222304265024]",F1-existing:not-recomputed,
joint_affine_floor,strong_aug_floor,boundary_iou_mean,all,6,-0.004249234627388632,3,-0.04068551926436324,0.03218705000958598,0.776404685982623,JA1,paired_t_6_source_seed_cells,"[-0.042168264478839035, -0.027224828318292593, 0.01527934813799764, 0.0038073307882662832, 0.05152446868842314, -0.026713462581887226]","F3-new:JA1,JA2,JA4",1.0
warp_alpha100,joint_affine_floor,boundary_iou_mean,all,6,-0.26297878318300355,0,-0.3106886435605152,-0.21526892280549192,3.152693050010762e-05,JA2,paired_t_6_source_seed_cells,"[-0.1824362847477239, -0.2456265674651426, -0.29138988084354334, -0.3107060587232692, -0.28444473135328474, -0.2632691759650578]","F3-new:JA1,JA2,JA4",9.458079150032286e-05
SLAug,warp_alpha100,boundary_iou_mean,all,6,0.2581252864686842,6,0.2254859399735079,0.2907646329638605,5.32730378520534e-06,JA3,paired_t_6_source_seed_cells,"[0.20283170807485773, 0.26183044405931705, 0.25044427802501457, 0.2953109795736607, 0.2754871683217603, 0.2628471407574949]",F2/F5-existing:not-recomputed,
SLAug,joint_affine_floor,boundary_iou_mean,all,6,-0.004853496714319404,2,-0.02846541254996008,0.01875841912132127,0.6198321353545991,JA4,paired_t_6_source_seed_cells,"[0.020395423327133844, 0.016203876594174438, -0.040945602818528826, -0.015395079149608526, -0.008957563031524451, -0.0004220352075628986]","F3-new:JA1,JA2,JA4",1.0
SLAug,strong_aug_floor,boundary_iou_mean,all,6,-0.009102731341708034,1,-0.03662784545667773,0.018422382773261664,0.43407412766174175,TOTAL,paired_t_6_source_seed_cells,"[-0.02177284115170519, -0.011020951724118155, -0.025666254680531186, -0.011587748361342243, 0.04256690565689869, -0.027135497789450125]",F1-existing:not-recomputed,
