multiplicity_family,stratum,candidate,reference,model,metric,source_center,seed,delta,n_cases,n_videos
F1-all,all,fourier_amp_aug,strong_aug_floor,polyp_pvt,dice_mean,C3,1,0.052785884210526324,285,100
F1-all,all,fourier_amp_aug,strong_aug_floor,polyp_pvt,dice_mean,C3,2,-0.030486775438596486,285,100
F1-all,all,ibn_whitening,strong_aug_floor,polyp_pvt,dice_mean,C1,0,-0.026529557894736842,285,100
F1-all,all,ibn_whitening,strong_aug_floor,polyp_pvt,dice_mean,C1,1,-0.014564849122807021,285,100
F1-all,all,ibn_whitening,strong_aug_floor,polyp_pvt,dice_mean,C1,2,0.019954550877192983,285,100
F1-all,all,ibn_whitening,strong_aug_floor,polyp_pvt,dice_mean,C3,0,0.00411339649122807,285,100
F1-all,all,ibn_whitening,strong_aug_floor,polyp_pvt,dice_mean,C3,1,-0.01919535087719298,285,100
F1-all,all,ibn_whitening,strong_aug_floor,polyp_pvt,dice_mean,C3,2,-0.12710105614035086,285,100
F1-all,all,spectral_consistency,strong_aug_floor,polyp_pvt,dice_mean,C1,0,-0.021191108771929826,285,100
F1-all,all,spectral_consistency,strong_aug_floor,polyp_pvt,dice_mean,C1,1,-0.034338670175438596,285,100
F1-all,all,spectral_consistency,strong_aug_floor,polyp_pvt,dice_mean,C1,2,0.030273259649122808,285,100
F1-all,all,spectral_consistency,strong_aug_floor,polyp_pvt,dice_mean,C3,0,0.02971208070175438,285,100
F1-all,all,spectral_consistency,strong_aug_floor,polyp_pvt,dice_mean,C3,1,0.02005502456140351,285,100
F1-all,all,spectral_consistency,strong_aug_floor,polyp_pvt,dice_mean,C3,2,-0.06567021052631578,285,100
F1-all,all,spectral_ibn_combo,strong_aug_floor,polyp_pvt,dice_mean,C1,0,-0.011169631578947367,285,100
F1-all,all,spectral_ibn_combo,strong_aug_floor,polyp_pvt,dice_mean,C1,1,-0.00522444561403509,285,100
F1-all,all,spectral_ibn_combo,strong_aug_floor,polyp_pvt,dice_mean,C1,2,0.0234513649122807,285,100
F1-all,all,spectral_ibn_combo,strong_aug_floor,polyp_pvt,dice_mean,C3,0,-0.04218157543859649,285,100
F1-all,all,spectral_ibn_combo,strong_aug_floor,polyp_pvt,dice_mean,C3,1,0.0037995087719298283,285,100
F1-all,all,spectral_ibn_combo,strong_aug_floor,polyp_pvt,dice_mean,C3,2,-0.03177005263157894,285,100
F1-all,all,SLAug_official,strong_aug_floor,polyp_pvt,dice_mean,C1,0,-0.009895060952033059,285,100
F1-all,all,SLAug_official,strong_aug_floor,polyp_pvt,dice_mean,C1,1,0.012822901370173811,285,100
F1-all,all,SLAug_official,strong_aug_floor,polyp_pvt,dice_mean,C1,2,0.054014406703277895,285,100
F1-all,all,SLAug_official,strong_aug_floor,polyp_pvt,dice_mean,C3,0,-0.052288496853069376,285,100
F1-all,all,SLAug_official,strong_aug_floor,polyp_pvt,dice_mean,C3,1,0.03878597815401054,285,100
F1-all,all,SLAug_official,strong_aug_floor,polyp_pvt,dice_mean,C3,2,-0.002057276136074885,285,100
