method,morphology_group,metric,higher_is_better,n_cells,cell_mean,cell_sd,delta_vs_floor,delta_ci_low,delta_ci_high,inference_status
MixStyle,all,hd95_px_mean,False,6,64.99876346542334,9.05411466855479,3.9199481791802326,-1.133656835489853,8.973553193850318,descriptive_expanded_boundary
MixStyle,all,weighted_fbeta_mean,True,6,0.6771849142978223,0.027788300415196657,-0.003805144708516487,-0.01987269863802959,0.012262409220996614,descriptive_expanded_boundary
MixStyle,all,boundary_iou_mean,True,6,0.47616344296945884,0.01908596350433834,0.0011188689135785042,-0.01421155786556777,0.01644929569272478,descriptive_expanded_boundary
SLAug,all,dice_mean,True,6,0.7255322915495687,0.018945920547574237,0.007276320351213135,-0.010523497800821645,0.025076138503247913,descriptive_expanded_boundary
SLAug,all,hd95_px_mean,False,6,53.85542532898117,4.389906760677059,-7.223389957261932,-10.884616253059285,-3.56216366146458,descriptive_expanded_boundary
SLAug,all,weighted_fbeta_mean,True,6,0.6716881057122484,0.028373159607874725,-0.009301953294090504,-0.03749286717500497,0.01888896058682396,descriptive_expanded_boundary
SLAug,all,boundary_iou_mean,True,6,0.4659418427141723,0.021382289502894423,-0.009102731341708034,-0.03662784545667773,0.018422382773261664,descriptive_expanded_boundary
fourier_amp_aug,all,dice_mean,True,6,0.7185939878206954,0.01938502540696618,0.00033801662233997237,-0.03639751442137584,0.03707354766605579,descriptive_expanded_boundary
fourier_amp_aug,all,hd95_px_mean,False,6,62.81372082571835,6.350096597371027,1.7349055394752568,-10.618471698270868,14.088282777221382,descriptive_expanded_boundary
fourier_amp_aug,all,weighted_fbeta_mean,True,6,0.6794111929674802,0.026972364729310205,-0.0015788660388586135,-0.04977493047388129,0.04661719839616406,descriptive_expanded_boundary
fourier_amp_aug,all,boundary_iou_mean,True,6,0.4792910323440475,0.026576579976325662,0.004246458288167156,-0.03954672914557547,0.04803964572190979,descriptive_expanded_boundary
ibn_whitening,all,dice_mean,True,6,0.691035497509283,0.038821695521770894,-0.02722047368907247,-0.08156556469922926,0.02712461732108432,descriptive_expanded_boundary
ibn_whitening,all,hd95_px_mean,False,6,69.26194987849442,15.365317185399935,8.183134592251323,-10.209596419344676,26.57586560384732,descriptive_expanded_boundary
ibn_whitening,all,weighted_fbeta_mean,True,6,0.6541115811587881,0.03839589176209112,-0.026878477847550764,-0.09061330263717303,0.0368563469420715,descriptive_expanded_boundary
ibn_whitening,all,boundary_iou_mean,True,6,0.4577874371035023,0.026733772930441876,-0.017257136952378117,-0.06457229599628501,0.030058022091528785,descriptive_expanded_boundary
spectral_consistency,all,dice_mean,True,6,0.7113960287836912,0.0263104900673392,-0.006859942414664255,-0.04846819956036435,0.03474831473103584,descriptive_expanded_boundary
spectral_consistency,all,hd95_px_mean,False,6,61.07919878993954,7.605265615565801,0.0003835036964427256,-10.297572951944327,10.298339959337211,descriptive_expanded_boundary
spectral_consistency,all,weighted_fbeta_mean,True,6,0.6679805332666419,0.04105358978815833,-0.013009525739697067,-0.07263777539019758,0.04661872391080345,descriptive_expanded_boundary
spectral_consistency,all,boundary_iou_mean,True,6,0.47269706129305794,0.03321293640941144,-0.002347512762822366,-0.052745638101393065,0.04805061257574834,descriptive_expanded_boundary
spectral_ibn_combo,all,dice_mean,True,6,0.7077401683316883,0.021826609640564716,-0.010515802866667276,-0.03553370751530295,0.014502101781968401,descriptive_expanded_boundary
spectral_ibn_combo,all,hd95_px_mean,False,6,69.46787885461636,14.989861837823831,8.389063568373258,-7.59830655281009,24.376433689556606,descriptive_expanded_boundary
spectral_ibn_combo,all,weighted_fbeta_mean,True,6,0.672515514656027,0.01753351967040071,-0.008474544350311697,-0.04313356591716869,0.026184477216545293,descriptive_expanded_boundary
spectral_ibn_combo,all,boundary_iou_mean,True,6,0.4739705438369251,0.012650009569556501,-0.0010740302189552557,-0.033111762107205255,0.030963701669294744,descriptive_expanded_boundary
strong_aug_floor,all,dice_mean,True,6,0.7182559711983555,0.01893166980061436,0.0,0.0,0.0,descriptive_expanded_boundary
strong_aug_floor,all,hd95_px_mean,False,6,61.0788152862431,6.601154534922067,0.0,0.0,0.0,descriptive_expanded_boundary
strong_aug_floor,all,weighted_fbeta_mean,True,6,0.6809900590063388,0.033015471204557424,0.0,0.0,0.0,descriptive_expanded_boundary
strong_aug_floor,all,boundary_iou_mean,True,6,0.4750445740558804,0.027564579714623963,0.0,0.0,0.0,descriptive_expanded_boundary
